name,position,Yahoo,Sleeper,RTSports,AVG
Michael Carter,RB,165,,284,224.5
New York Giants,DST,168,,,168.0
John Metchie III,WR,,219,235,227.0
Ryan Tannehill,QB,,,173,173.0
Chase Brown,RB,,202,258,230.0
Greg Zuerlein,K,228,,232,230.0
Cleveland Browns,DST,199,,262,230.5
Hunter Renfrow,WR,,222,239,230.5
Baker Mayfield,QB,,,180,180.0
Matt Prater,K,183,,,183.0
Desmond Ridder,QB,,,184,184.0
Atlanta Falcons,DST,187,,,187.0
Rashid Shaheed,WR,,225,248,236.5
Curtis Samuel,WR,,237,236,236.5
Wan'Dale Robinson,WR,,247,231,239.0
Greg Joseph,K,231,,251,241.0
Kyren Williams,RB,,,199,199.0
Chase Claypool,WR,,240,247,243.5
Richie James Jr.,WR,,,205,205.0
Wil Lutz,K,213,,277,245.0
Clayton Tune,QB,,,206,206.0
Chris Boswell,K,209,,,209.0
Sean Tucker,RB,,,213,213.0
Joshua Dobbs,QB,,,214,214.0
Michael Badgley,K,214,,,214.0
Mike White,QB,,,216,216.0
Mecole Hardman Jr.,WR,,236,266,251.0
Josh Downs,WR,,239,267,253.0
Riley Patterson,K,227,,281,254.0
Robert Woods,WR,,241,268,254.5
Robbie Gould,K,230,,,230.0
Chase Edmonds,RB,,,230,230.0
DeVante Parker,WR,,238,279,258.5
Los Angeles Rams,DST,234,,,234.0
Detroit Lions,DST,235,,,235.0
Tampa Bay Buccaneers,DST,237,,,237.0
Darius Slayton,WR,,,237,237.0
Carolina Panthers,DST,238,,,238.0
Isaiah Likely,TE,,,246,246.0
DeWayne McBride,RB,,246,,246.0
Tavon Austin,WR,,250,,250.0
Chris Evans,RB,,,250,250.0
Devontae Booker,RB,,251,,251.0
Bryan Edwards,WR,,252,,252.0
Ethan Wolf,TE,,253,,253.0
Joshua Palmer,WR,,,253,253.0
Rico Dowdle,RB,,,254,254.0
Nick Sciba,K,,254,,254.0
Mike Thomas,WR,,256,,256.0
Michael Wilson,WR,,,256,256.0
Antonio Callaway,WR,,257,,257.0
Noah Fant,TE,,,257,257.0
Case Cookus,QB,,258,,258.0
Tristan Vizcaino,K,,259,,259.0
Cade Otton,TE,,,259,259.0
Logan Thomas,TE,,,260,260.0
Justin Hardy,WR,,260,,260.0
Jake Luton,QB,,261,,261.0
Jelani Woods,TE,,,261,261.0
Willie Johnson,WR,,262,,262.0
Aldrick Rosas,K,,263,,263.0
David Blough,QB,,265,,265.0
Kenny Stills,WR,,266,,266.0
Josh Hill,TE,,267,,267.0
Marlon Williams,WR,,268,,268.0
Keaontay Ingram,RB,,,269,269.0
Luke Willson,TE,,270,,270.0
Brandon Aubrey,K,,,270,270.0
Luke Farrell,TE,,272,,272.0
Zach Evans,RB,,,273,273.0
Dai'Jean Dixon,WR,,273,,273.0
Allen Robinson II,WR,,,274,274.0
Henry Litwin,WR,,274,,274.0
Latavius Murray,RB,,,275,275.0
Kenji Bahar,QB,,275,,275.0
Josh Reynolds,WR,,,276,276.0
Chad Beebe,WR,,276,,276.0
Trey Burton,TE,,278,,278.0
Trey McBride,TE,,,278,278.0
Matt Breida,RB,,,280,280.0
Ryan McDaniel,WR,,280,,280.0
Eli Stove,WR,,282,,282.0
Pierre Strong Jr.,RB,,,282,282.0
Justice Hill,RB,,,283,283.0
Chris Streveler,QB,,284,,284.0
Derek Carrier,TE,,285,,285.0
Reggie Begelton,WR,,286,,286.0
Chase Garbers,QB,,288,,288.0
Tom Kennedy,WR,,291,,291.0
Elliott Fry,K,,292,,292.0
Brandon Smith,WR,,293,,293.0
Irvin Charles,WR,,294,,294.0
Sean McKeon,TE,,295,,295.0
Garrett Gilbert,QB,,297,,297.0
Jalen Cropper,WR,,299,,299.0
Jordan Matthews,WR,,300,,300.0
