date,source,sleeper_id,league_points
2026-08-25,borischen,6790,182.8
2026-08-25,borischen,6794,236.8
2026-08-25,borischen,6797,353.5
2026-08-25,borischen,4137,51.7
2026-08-25,borischen,4199,120.1
2026-08-25,borischen,2449,136.4
2026-08-25,borischen,6806,144.3
2026-08-25,borischen,6801,185.6
2026-08-25,borischen,6804,318.3
2026-08-25,borischen,6819,141.1
2026-08-25,borischen,6813,269.7
2026-08-25,borischen,CHI,85.0
2026-08-25,borischen,4217,135.7
2026-08-25,borischen,12530,79.1
2026-08-25,borischen,12535,73.1
2026-08-25,borischen,12533,130.5
2026-08-25,borischen,12534,130.5
2026-08-25,borischen,LAC,86.0
2026-08-25,borischen,LAR,106.0
2026-08-25,borischen,12545,318.3
2026-08-25,borischen,12517,180.6
2026-08-25,borischen,12518,180.6
2026-08-25,borischen,12519,174.9
2026-08-25,borischen,12514,185.6
2026-08-25,borischen,12512,182.8
2026-08-25,borischen,12529,157.9
2026-08-25,borischen,12526,185.6
2026-08-25,borischen,12527,211.4
2026-08-25,borischen,12522,280.8
2026-08-25,borischen,12506,145.4
2026-08-25,borischen,12507,227.9
2026-08-25,borischen,12508,345.5
2026-08-25,borischen,12509,93.4
2026-08-25,borischen,12502,108.1
2026-08-25,borischen,12501,124.9
2026-08-25,borischen,9997,185.6
2026-08-25,borischen,12490,157.9
2026-08-25,borischen,12492,78.9
2026-08-25,borischen,8676,124.9
2026-08-25,borischen,12493,108.1
2026-08-25,borischen,12474,74.3
2026-08-25,borischen,12484,0.0
2026-08-25,borischen,12481,182.8
2026-08-25,borischen,12487,108.1
2026-08-25,borischen,12489,130.5
2026-08-25,borischen,12457,52.1
2026-08-25,borischen,12469,77.2
2026-08-25,borischen,12467,54.2
2026-08-25,borischen,96,213.0
2026-08-25,borischen,DAL,86.0
2026-08-25,borischen,DEN,96.0
2026-08-25,borischen,DET,92.0
2026-08-25,borischen,6904,367.1
2026-08-25,borischen,10859,145.4
2026-08-25,borischen,GB,86.0
2026-08-25,borischen,KC,87.0
2026-08-25,borischen,421,345.5
2026-08-25,borischen,NE,92.0
2026-08-25,borischen,MIN,92.0
2026-08-25,borischen,SF,84.0
2026-08-25,borischen,9224,227.9
2026-08-25,borischen,9221,269.7
2026-08-25,borischen,9228,280.8
2026-08-25,borischen,9225,61.2
2026-08-25,borischen,9226,227.9
2026-08-25,borischen,7523,353.5
2026-08-25,borischen,3163,336.5
2026-08-25,borischen,7525,197.9
2026-08-25,borischen,7526,185.6
2026-08-25,borischen,7543,190.4
2026-08-25,borischen,7553,145.4
2026-08-25,borischen,3198,227.9
2026-08-25,borischen,7547,236.8
2026-08-25,borischen,7564,236.8
2026-08-25,borischen,7567,130.5
2026-08-25,borischen,7569,197.9
2026-08-25,borischen,7588,190.4
2026-08-25,borischen,7594,130.5
2026-08-25,borischen,1466,135.7
2026-08-25,borischen,1479,84.8
2026-08-25,borischen,5850,190.4
2026-08-25,borischen,5849,336.5
2026-08-25,borischen,5844,108.1
2026-08-25,borischen,5846,153.5
2026-08-25,borischen,5859,197.9
2026-08-25,borischen,5870,280.8
2026-08-25,borischen,5872,124.9
2026-08-25,borischen,3214,117.1
2026-08-25,borischen,5892,182.8
2026-08-25,borischen,7600,102.9
2026-08-25,borischen,11581,48.3
2026-08-25,borischen,11584,182.8
2026-08-25,borischen,11583,144.3
2026-08-25,borischen,11586,130.5
2026-08-25,borischen,7611,151.1
2026-08-25,borischen,11560,353.5
2026-08-25,borischen,11564,391.4
2026-08-25,borischen,11563,345.5
2026-08-25,borischen,10232,141.1
2026-08-25,borischen,11566,367.1
2026-08-25,borischen,10236,135.7
2026-08-25,borischen,11575,60.6
2026-08-25,borischen,11576,47.2
2026-08-25,borischen,10219,125.0
2026-08-25,borischen,10213,106.0
2026-08-25,borischen,3294,353.5
2026-08-25,borischen,10229,197.9
2026-08-25,borischen,10222,136.4
2026-08-25,borischen,5001,117.1
2026-08-25,borischen,5012,127.1
2026-08-25,borischen,5022,127.1
2026-08-25,borischen,5045,153.5
2026-08-25,borischen,8112,197.9
2026-08-25,borischen,8110,127.1
2026-08-25,borischen,8111,95.8
2026-08-25,borischen,8121,124.9
2026-08-25,borischen,8126,136.4
2026-08-25,borischen,8134,124.9
2026-08-25,borischen,8132,65.4
2026-08-25,borischen,8138,269.7
2026-08-25,borischen,8136,130.5
2026-08-25,borischen,8137,197.9
2026-08-25,borischen,8130,180.6
2026-08-25,borischen,8131,127.1
2026-08-25,borischen,8146,185.6
2026-08-25,borischen,8144,197.9
2026-08-25,borischen,8148,174.9
2026-08-25,borischen,8142,141.1
2026-08-25,borischen,9487,153.5
2026-08-25,borischen,9488,236.8
2026-08-25,borischen,8154,63.4
2026-08-25,borischen,8155,190.4
2026-08-25,borischen,9486,57.4
2026-08-25,borischen,9480,117.1
2026-08-25,borischen,9484,145.4
2026-08-25,borischen,8150,190.4
2026-08-25,borischen,8151,227.9
2026-08-25,borischen,8167,174.9
2026-08-25,borischen,8161,318.3
2026-08-25,borischen,9493,236.8
2026-08-25,borischen,13281,124.9
2026-08-25,borischen,13286,157.9
2026-08-25,borischen,13287,190.4
2026-08-25,borischen,13285,75.0
2026-08-25,borischen,8172,87.4
2026-08-25,borischen,13288,57.7
2026-08-25,borischen,13293,87.4
2026-08-25,borischen,13294,136.4
2026-08-25,borischen,13298,124.9
2026-08-25,borischen,13296,77.8
2026-08-25,borischen,8180,107.6
2026-08-25,borischen,8183,345.5
2026-08-25,borischen,13269,250.2
2026-08-25,borischen,13276,104.6
2026-08-25,borischen,13274,80.9
2026-08-25,borischen,5927,174.9
2026-08-25,borischen,13279,153.5
2026-08-25,borischen,11625,106.0
2026-08-25,borischen,11624,124.9
2026-08-25,borischen,11628,153.5
2026-08-25,borischen,11620,174.9
2026-08-25,borischen,11635,185.6
2026-08-25,borischen,11637,71.3
2026-08-25,borischen,11632,197.9
2026-08-25,borischen,11631,153.5
2026-08-25,borischen,5947,136.4
2026-08-25,borischen,11603,108.1
2026-08-25,borischen,11604,180.6
2026-08-25,borischen,11618,105.4
2026-08-25,borischen,11610,107.3
2026-08-25,borischen,5967,151.1
2026-08-25,borischen,3321,77.2
2026-08-25,borischen,5995,55.7
2026-08-25,borischen,13405,41.9
2026-08-25,borischen,13417,124.9
2026-08-25,borischen,13413,77.5
2026-08-25,borischen,13414,39.3
2026-08-25,borischen,PHI,98.0
2026-08-25,borischen,PIT,88.0
2026-08-25,borischen,11647,53.0
2026-08-25,borischen,11646,124.9
2026-08-25,borischen,11643,41.1
2026-08-25,borischen,11655,100.8
2026-08-25,borischen,9502,43.4
2026-08-25,borischen,9500,141.1
2026-08-25,borischen,9511,87.9
2026-08-25,borischen,9506,48.5
2026-08-25,borischen,9504,104.7
2026-08-25,borischen,9508,97.1
2026-08-25,borischen,9509,269.7
2026-08-25,borischen,13345,58.9
2026-08-25,borischen,13346,106.0
2026-08-25,borischen,13349,65.9
2026-08-25,borischen,13347,22.8
2026-08-25,borischen,8205,48.6
2026-08-25,borischen,8210,117.1
2026-08-25,borischen,13320,63.5
2026-08-25,borischen,13330,80.2
2026-08-25,borischen,13337,59.2
2026-08-25,borischen,13301,61.2
2026-08-25,borischen,8228,151.1
2026-08-25,borischen,13305,89.5
2026-08-25,borischen,13311,54.7
2026-08-25,borischen,13317,79.9
2026-08-25,borischen,HOU,104.0
2026-08-25,borischen,2133,174.9
2026-08-25,borischen,11783,97.7
2026-08-25,borischen,7002,127.1
2026-08-25,borischen,7021,144.3
2026-08-25,borischen,7049,86.2
2026-08-25,borischen,4866,227.9
2026-08-25,borischen,4881,391.4
2026-08-25,borischen,2216,174.9
2026-08-25,borischen,4892,318.3
2026-08-25,borischen,4033,46.5
2026-08-25,borischen,4034,269.7
2026-08-25,borischen,4035,53.0
2026-08-25,borischen,4046,345.5
2026-08-25,borischen,4037,153.5
2026-08-25,borischen,4039,70.4
2026-08-25,borischen,JAX,91.0
2026-08-25,borischen,8408,130.5
2026-08-25,borischen,9756,136.4
2026-08-25,borischen,9753,61.7
2026-08-25,borischen,9754,141.1
2026-08-25,borischen,9758,280.8
2026-08-25,borischen,4943,280.8
2026-08-25,borischen,BAL,95.0
