name,position,Yahoo,Fantrax,FFC,Sleeper,AVG
Arizona Cardinals,DST,214,236,,,225.0
Allen Lazard,WR,,211,,240,225.5
Nico Collins,WR,,206,,246,226.0
Salvon Ahmed,RB,,216,,238,227.0
Boston Scott,RB,,248,,209,228.5
Carson Wentz,QB,215,307,,242,254.7
Carolina Panthers,DST,234,299,,224,252.3
Kadarius Toney,WR,,222,,239,230.5
Jordan Akins,TE,,184,,,184.0
Donovan Peoples-Jones,WR,,237,,233,235.0
Chris Boswell,K,194,314,,,254.0
Darrynton Evans,RB,,230,,244,237.0
Sam Ficken,K,,197,,,197.0
Taysom Hill,QB,,198,,,198.0
Justin Jackson,RB,,270,206,,238.0
Cordarrelle Patterson,WR,,246,,230,238.0
Evan McPherson,K,225,252,,,238.5
Anthony McFarland Jr.,RB,,202,,,202.0
J.J. Taylor,RB,,203,,,203.0
Josh Palmer,WR,,250,,232,241.0
New York Giants,DST,206,321,,,263.5
Tim Tebow,TE,,255,,234,244.5
Elijah Mitchell,RB,,213,,,213.0
Benny Snell Jr.,RB,,214,,,214.0
Sammy Watkins,WR,,275,,219,247.0
Xavier Jones,RB,,463,,218,340.5
Carlos Hyde,RB,,273,,228,250.5
O.J. Howard,TE,,224,,,224.0
Javian Hawkins,RB,,226,,,226.0
Los Angeles Chargers,DST,,312,,226,269.0
Dustin Hopkins,K,226,324,,,275.0
Le'Veon Bell,RB,,233,,,233.0
Chase McLaughlin,K,233,384,,,308.5
Tyler Kroft,TE,,234,,,234.0
Philadelphia Eagles,DST,235,338,,,286.5
Jaret Patterson,RB,,240,,,240.0
Michael Badgley,K,240,340,,,290.0
Andy Dalton,QB,,241,,,241.0
Juwan Johnson,TE,,245,,,245.0
Amari Rodgers,WR,,339,,245,292.0
Darius Slayton,WR,,247,,,247.0
John Brown,WR,,325,,248,286.5
Devon Johnson,RB,,,,249,249.0
Jeff Wilson Jr.,RB,,249,,,249.0
Tre Walker,WR,,,,250,250.0
Tony Poljan,TE,,,,251,251.0
Jake Funk,RB,,251,,,251.0
J.T. Luper,WR,,,,252,252.0
Jermiah Braswell,WR,,,,253,253.0
T.J. Simmons,WR,,,,254,254.0
Dax Raymond,TE,,,,255,255.0
Shaquelle Evans,WR,,,,256,256.0
Jimmy Graham,TE,,257,,,257.0
Drew Morgan,WR,,,,257,257.0
Breshad Perriman,WR,,258,,,258.0
Connor Wedington,WR,,,,258,258.0
Jared Goff,QB,,259,,,259.0
La'Mical Perine,RB,,261,,,261.0
Trevon Grimes,WR,,,,261,261.0
Byron Pringle,WR,,262,,,262.0
Jack Stoll,TE,,,,262,262.0
Dan Arnold,TE,,263,,,263.0
Ben Mason,RB,,,,263,263.0
Joshua Kelley,RB,,264,,,264.0
Zach Davidson,TE,,,,264,264.0
Eli Stove,WR,,,,265,265.0
Reggie Gilliam,RB,,,,266,266.0
Laquon Treadwell,WR,,,,267,267.0
Royce Freeman,RB,,267,,,267.0
Qadree Ollison,RB,,268,,,268.0
Landen Akers,WR,,,,268,268.0
TJ Jones,WR,,,,269,269.0
Denzel Mims,WR,,269,,,269.0
Eli Rogers,WR,,,,270,270.0
Dane Evans,QB,,,,271,271.0
Pooka Williams Jr.,RB,,271,,,271.0
Nick Eubanks,TE,,,,272,272.0
Briley Moore-McKinney,TE,,,,274,274.0
Andrew Beck,TE,,,,275,275.0
Tyrod Taylor,QB,,276,,,276.0
Devine Ozigbo,RB,,,,276,276.0
Marken Michel,WR,,,,277,277.0
Demarcus Robinson,WR,,279,,,279.0
K.J. Osborn,WR,,,,279,279.0
Dez Stewart,WR,,,,280,280.0
Drew Lock,QB,,281,,,281.0
Isaiah McKoy,WR,,,,281,281.0
DeSean Jackson,WR,,282,,,282.0
Wayne Gallman Jr.,RB,,283,,,283.0
Scotty Miller,WR,,284,,,284.0
Keke Coutee,WR,,285,,,285.0
Chris Herndon IV,TE,,288,,,288.0
Eno Benjamin,RB,,289,,,289.0
Quez Watkins,WR,,290,,,290.0
Mo Alie-Cox,TE,,291,,,291.0
Dalton Schultz,TE,,294,,,294.0
Austin MacGinnis,K,,295,,,295.0
Jose Borregales,K,,296,,,296.0
D'Wayne Eskridge,WR,,297,,,297.0
Mike Boone,RB,,298,,,298.0
Hunter Renfrow,WR,,300,,,300.0
Jalen Richard,RB,,301,,,301.0
Larry Rountree III,RB,,303,,,303.0
Samaje Perine,RB,,304,,,304.0
Olamide Zaccheaus,WR,,306,,,306.0
Travis Fulgham,WR,,308,,,308.0
Jimmy Garoppolo,QB,,309,,,309.0
Adam Humphries,WR,,310,,,310.0
Ke'Shawn Vaughn,RB,,311,,,311.0
Quintez Cephus,WR,,313,,,313.0
Chris Evans,RB,,315,,,315.0
Anthony Miller,WR,,316,,,316.0
De'Angelo Henderson Sr.,RB,,317,,,317.0
Kalen Ballage,RB,,319,,,319.0
Tim Patrick,WR,,320,,,320.0
David Moore,WR,,322,,,322.0
Josh Reynolds,WR,,323,,,323.0
KJ Hamler,WR,,326,,,326.0
Graham Gano,K,,327,,,327.0
Kerryon Johnson,RB,,328,,,328.0
Deonte Harris,WR,,329,,,329.0
D'Onta Foreman,RB,,330,,,330.0
Cairo Santos,K,,331,,,331.0
Rashard Higgins,WR,,332,,,332.0
C.J. Uzomah,TE,,333,,,333.0
Matt Breida,RB,,334,,,334.0
Houston Texans,DST,,335,,,335.0
Dyami Brown,WR,,336,,,336.0
Ameer Abdullah,RB,,341,,,341.0
Cody Parkey,K,,342,,,342.0
Chris Conley,WR,,343,,,343.0
Van Jefferson,WR,,344,,,344.0
New York Jets,DST,,345,,,345.0
Ito Smith,RB,,346,,,346.0
Ka'imi Fairbairn,K,,347,,,347.0
Jacksonville Jaguars,DST,,348,,,348.0
Jake Elliott,K,,349,,,349.0
Devin Funchess,WR,,350,,,350.0
Zach Pascal,WR,,351,,,351.0
Jonathan Williams,RB,,352,,,352.0
Atlanta Falcons,DST,,353,,,353.0
Josh Lambo,K,,354,,,354.0
Marquise Goodwin,WR,,355,,,355.0
Stephen Anderson,TE,,356,,,356.0
Terry Godwin,WR,,357,,,357.0
Kendrick Bourne,WR,,358,,,358.0
Tucker McCann,K,,359,,,359.0
Tylan Wallace,WR,,360,,,360.0
Albert Wilson,WR,,361,,,361.0
Marcus Mariota,QB,,362,,,362.0
Keelan Cole Sr.,WR,,363,,,363.0
Joey Slye,K,,364,,,364.0
Donald Parham Jr.,TE,,365,,,365.0
Antonio Gandy-Golden,WR,,366,,,366.0
James Washington,WR,,367,,,367.0
Detroit Lions,DST,,368,,,368.0
Tutu Atwell,WR,,369,,,369.0
N'Keal Harry,WR,,370,,,370.0
Randy Bullock,K,,371,,,371.0
Mohamed Sanu,WR,,372,,,372.0
Preston Williams,WR,,374,,,374.0
Jalen Guyton,WR,,375,,,375.0
David Njoku,TE,,376,,,376.0
Cam Sims,WR,,377,,,377.0
Shi Smith,WR,,378,,,378.0
Damiere Byrd,WR,,379,,,379.0
Dez Fitzpatrick,WR,,380,,,380.0
Tyler Johnson,WR,,381,,,381.0
Anthony Schwartz,WR,,382,,,382.0
Sam Ehlinger,QB,,383,,,383.0
Jack Doyle,TE,,385,,,385.0
Foster Moreau,TE,,386,,,386.0
Mitchell Trubisky,QB,,387,,,387.0
Antonio Callaway,WR,,388,,,388.0
Tyron Johnson,WR,,390,,,390.0
Antonio Williams,RB,,391,,,391.0
Jacob Eason,QB,,392,,,392.0
Mike Strachan,WR,,393,,,393.0
Matt Jones,RB,,394,,,394.0
Matt Ammendola,K,,395,,,395.0
Jaylen Samuels,RB,,396,,,396.0
Ty Montgomery,RB,,397,,,397.0
