name,position,team,AVG,source,format,drafts,season
Tyler Eifert,TE,CIN,142.0,fantasyfootballcalculator,ppr,764,2013
Sam Bradford,QB,LAR,142.7,fantasyfootballcalculator,ppr,764,2013
Zach Sudfeld,TE,NE,144.8,fantasyfootballcalculator,ppr,764,2013
Christine Michael,RB,SEA,146.5,fantasyfootballcalculator,ppr,764,2013
Tampa Bay Defense,DST,TB,147.5,fantasyfootballcalculator,ppr,764,2013
Ryan Broyles,WR,DET,147.5,fantasyfootballcalculator,ppr,764,2013
Josh Freeman,QB,NYG,147.9,fantasyfootballcalculator,ppr,764,2013
Brandon Pettigrew,TE,DET,148.9,fantasyfootballcalculator,ppr,764,2013
Roy Helu,RB,WAS,149.0,fantasyfootballcalculator,ppr,764,2013
Denarius Moore,WR,LV,149.1,fantasyfootballcalculator,ppr,764,2013
LeGarrette Blount,RB,PIT,149.2,fantasyfootballcalculator,ppr,764,2013
Rueben Randle,WR,NYG,150.0,fantasyfootballcalculator,ppr,764,2013
Daniel Thomas,RB,MIA,151.0,fantasyfootballcalculator,ppr,764,2013
Darrius Heyward-Bey,WR,PIT,151.1,fantasyfootballcalculator,ppr,764,2013
LA Rams Defense,DST,LAR,151.3,fantasyfootballcalculator,ppr,764,2013
Denard Robinson,RB,JAX,151.6,fantasyfootballcalculator,ppr,764,2013
Kendall Hunter,RB,SF,152.2,fantasyfootballcalculator,ppr,764,2013
Heath Miller,TE,PIT,152.2,fantasyfootballcalculator,ppr,764,2013
Alex Smith,QB,KC,153.0,fantasyfootballcalculator,ppr,764,2013
Cordarrelle Patterson,WR,MIN,153.0,fantasyfootballcalculator,ppr,764,2013
Coby Fleener,TE,IND,155.2,fantasyfootballcalculator,ppr,764,2013
Brian Hartline,WR,MIA,155.8,fantasyfootballcalculator,ppr,764,2013
Ryan Tannehill,QB,MIA,155.8,fantasyfootballcalculator,ppr,764,2013
Percy Harvin,WR,SEA,156.5,fantasyfootballcalculator,ppr,764,2013
Philip Rivers,QB,LAC,157.6,fantasyfootballcalculator,ppr,764,2013
Pittsburgh Defense,DST,PIT,157.7,fantasyfootballcalculator,ppr,764,2013
Arizona Defense,DST,ARI,157.9,fantasyfootballcalculator,ppr,764,2013
Green Bay Defense,DST,GB,159.2,fantasyfootballcalculator,ppr,764,2013
EJ Manuel,QB,,161.6,fantasyfootballcalculator,ppr,764,2013
Cleveland Defense,DST,CLE,163.7,fantasyfootballcalculator,ppr,764,2013
Dallas Defense,DST,DAL,165.7,fantasyfootballcalculator,ppr,764,2013
