player,position,injury_date,games_missed,body_part,site,condition
Romeo Doubs,WR,2023-08-26,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Kendre Miller,RB,2023-08-30,2,Thigh,Hamstring,Sprain\/Pull Unspecified
Christian Watson,WR,2023-08-31,3,Thigh,Hamstring,Strain
Travis Kelce,TE,2023-09-05,1,Knee,Unspecified,Bruise
Jakobi Meyers,WR,2023-09-10,1,Head,Cranial,Concussion
J.K. Dobbins,RB,2023-09-10,16,Pedal,Achilles,Tear
Aaron Jones,RB,2023-09-10,2,Thigh,Hamstring,Sprain\/Pull Unspecified
Pat Freiermuth,TE,2023-09-10,0,Chest,Sternum,Bruise
Greg Dulcich,TE,2023-09-10,4,Thigh,Hamstring,Strain
Darius Slayton,WR,2023-09-10,0,Hand,Thumb,Torn Ligament
Austin Ekeler,RB,2023-09-10,3,Pedal,Ankle (high),Sprain
Aaron Rodgers,QB,2023-09-11,16,Pedal,Achilles,Tear
Kenneth Gainwell,RB,2023-09-11,1,Chest,Rib,Sprain\/Pull Unspecified
Saquon Barkley,RB,2023-09-17,3,Pedal,Ankle,Sprain
Jaylen Waddle,WR,2023-09-17,1,Head,Cranial,Concussion
David Montgomery,RB,2023-09-17,1,Leg,Thigh,Bruise
Brandon Aiyuk,WR,2023-09-17,1,Shoulder,Unspecified,Unspecified
Darnell Mooney,WR,2023-09-17,0,Knee,Unspecified,Bruise
Odell Beckham Jr.,WR,2023-09-17,2,Pedal,Ankle,Sprain\/Pull Unspecified
Zay Jones,WR,2023-09-17,2,Knee,PCL,Sprain
Bryce Young,QB,2023-09-18,1,Pedal,Ankle,Sprain\/Pull Unspecified
Nick Chubb,RB,2023-09-18,15,Knee,Unspecified,Tear
Justice Hill,RB,2023-09-20,1,Pedal,Toe,Turf Toe
Jauan Jennings,WR,2023-09-21,1,Leg,Shin,Bruise
Drake Maye,QB,2023-09-23,0,Pedal,Ankle,Bruise
Kenyon Sadiq,TE,2023-09-24,0,Inguinal,Hip,Bruise
Rashod Bateman,WR,2023-09-24,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Deshaun Watson,QB,2023-09-24,2,Shoulder,Rotator Cuff,Tear
Treylon Burks,WR,2023-09-24,3,Knee,Patella,Sprain
Kareem Hunt,RB,2023-09-24,0,Inguinal,Groin,Sports Hernia
Jonathan Mingo,WR,2023-09-24,1,Head,Cranial,Concussion
Amon-Ra St. Brown,WR,2023-09-28,1,Abdomen,Muscle,Sprain\/Pull Unspecified
Justin Herbert,QB,2023-10-01,0,Hand,Finger,Fracture
Matthew Stafford,QB,2023-10-01,0,Inguinal,Hip,Strain
Tee Higgins,WR,2023-10-01,1,Chest,Rib,Fracture
Javonte Williams,RB,2023-10-01,1,Inguinal,Hip,Strain
Kyren Williams,RB,2023-10-01,0,Inguinal,Hip,Strain
Mike Evans,WR,2023-10-01,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Juwan Johnson,TE,2023-10-01,4,Leg,Calf,Strain
Pat Freiermuth,TE,2023-10-01,5,Thigh,Hamstring,Strain
Daniel Bellinger,TE,2023-10-02,0,Knee,Unspecified,Strain
Dalton Kincaid,TE,2023-10-05,1,Head,Cranial,Concussion
Roschon Johnson,RB,2023-10-05,2,Head,Cranial,Concussion
Jahmyr Gibbs,RB,2023-10-06,2,Thigh,Hamstring,Sprain\/Pull Unspecified
Justin Jefferson,WR,2023-10-08,7,Thigh,Hamstring,Strain
Daniel Jones,QB,2023-10-08,3,Cervical,Neck,Pinched Nerve
De\u0027Von Achane,RB,2023-10-08,5,Knee,MCL,Sprain
Travis Kelce,TE,2023-10-08,0,Pedal,Ankle,Sprain\/Pull Unspecified
Demario Douglas,WR,2023-10-08,1,Head,Cranial,Concussion
Nathaniel Dell,WR,2023-10-08,1,Head,Cranial,Concussion
James Conner,RB,2023-10-08,4,Knee,Unspecified,Strain
Dawson Knox,TE,2023-10-08,5,Hand,Wrist,Fracture
Zay Jones,WR,2023-10-08,4,Knee,PCL,Sprain
JuJu Smith-Schuster,WR,2023-10-08,2,Head,Cranial,Concussion
Miles Sanders,RB,2023-10-11,1,Shoulder,Unspecified,Unspecified
Greg Dulcich,TE,2023-10-12,11,Thigh,Hamstring,Strain
Christian McCaffrey,RB,2023-10-15,0,Chest,Rib,Sprain\/Pull Unspecified
Trevor Lawrence,QB,2023-10-15,0,Knee,Unspecified,Bruise
Kyren Williams,RB,2023-10-15,4,Pedal,Ankle (high),Sprain
David Montgomery,RB,2023-10-15,2,Chest,Rib,Bruise
Deebo Samuel,WR,2023-10-15,2,Shoulder,Scapula,Fracture
Justin Fields,QB,2023-10-15,4,Hand,Thumb,Dislocation
D.K. Metcalf,WR,2023-10-18,1,Chest,Rib,Bruise
Zach Charbonnet,RB,2023-10-18,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Saquon Barkley,RB,2023-10-22,0,Arm,Elbow,Sprain
Christian Watson,WR,2023-10-22,0,Knee,Unspecified,Bruise
Deshaun Watson,QB,2023-10-22,1,Shoulder,Scapula,Fracture
Luke Musgrave,TE,2023-10-22,0,Pedal,Ankle,Sprain\/Pull Unspecified
Jerome Ford,RB,2023-10-22,0,Pedal,Ankle,Sprain\/Pull Unspecified
Brock Purdy,QB,2023-10-23,0,Head,Cranial,Concussion
Chase Brown,RB,2023-10-25,4,Thigh,Hamstring,Strain
Matthew Stafford,QB,2023-10-29,1,Hand,Thumb,Sprain
Drake London,WR,2023-10-29,1,Inguinal,Groin,Pull
Michael Wilson,WR,2023-10-29,1,Shoulder,Unspecified,Unspecified
Kendrick Bourne,WR,2023-10-29,9,Knee,ACL,Tear
Darren Waller,TE,2023-10-29,5,Thigh,Hamstring,Sprain\/Pull Unspecified
Joshua Palmer,WR,2023-10-29,6,Knee,Unspecified,Strain
Curtis Samuel,WR,2023-10-29,1,Pedal,Toe,Sprain
Kirk Cousins,QB,2023-10-29,9,Pedal,Achilles,Tear
Emari Demercado,RB,2023-10-29,3,Pedal,Toe,Sprain
Treylon Burks,WR,2023-11-02,3,Head,Cranial,Concussion
Daniel Jones,QB,2023-11-05,8,Knee,ACL,Tear
Josh Downs,WR,2023-11-05,0,Knee,Unspecified,Strain
Dallas Goedert,TE,2023-11-05,3,Arm,Forearm,Fracture
Kendre Miller,RB,2023-11-05,7,Pedal,Ankle,Sprain\/Pull Unspecified
K.J. Osborn,WR,2023-11-05,1,Head,Cranial,Concussion
Garrett Wilson,WR,2023-11-12,0,Arm,Elbow,Bruise
George Kittle,TE,2023-11-12,0,Inguinal,Groin,Sports Hernia
Michael Wilson,WR,2023-11-12,3,Shoulder,Unspecified,Unspecified
Michael Wilson,WR,2023-11-12,3,Cervical,Neck,Strain
Keenan Allen,WR,2023-11-12,0,Shoulder,A\/C Joint,Sprain
Alexander Mattison,RB,2023-11-12,0,Head,Cranial,Concussion
Jalin Hyatt,WR,2023-11-12,0,Head,Cranial,Concussion
Antonio Gibson,RB,2023-11-15,1,Pedal,Toe,Sprain
Joe Burrow,QB,2023-11-16,7,Hand,Wrist,Ligament Tear
Mark Andrews,TE,2023-11-16,7,Pedal,Ankle,Ligament Tear
Mark Andrews,TE,2023-11-16,7,Leg,Fibula,Fracture
Kenneth Walker III,RB,2023-11-19,2,Abdomen,Muscle,Sprain\/Pull Unspecified
Geno Smith,QB,2023-11-19,0,Arm,Tricep,Strain
Aaron Jones,RB,2023-11-19,3,Knee,MCL,Sprain
Cooper Kupp,WR,2023-11-19,0,Pedal,Ankle,Sprain\/Pull Unspecified
Dontayvion Wicks,WR,2023-11-19,1,Head,Cranial,Concussion
Darius Slayton,WR,2023-11-19,0,Cervical,Neck,Strain
Luke Musgrave,TE,2023-11-19,6,Abdomen,Muscle,Strain
Mecole Hardman,WR,2023-11-20,5,Hand,Thumb,Sprain
Jonathan Taylor,RB,2023-11-26,3,Hand,Thumb,Torn Ligament
Chris Olave,WR,2023-11-26,0,Head,Cranial,Concussion
Rashid Shaheed,WR,2023-11-26,2,Thigh,Hamstring,Sprain\/Pull Unspecified
Dalton Schultz,TE,2023-11-26,2,Thigh,Hamstring,Strain
Demario Douglas,WR,2023-11-26,2,Head,Cranial,Concussion
Brenton Strange,TE,2023-12-01,3,Pedal,Foot,Unspecified
Puka Nacua,WR,2023-12-03,0,Shoulder,A\/C Joint,Sprain
Puka Nacua,WR,2023-12-03,0,Chest,Rib,Sprain\/Pull Unspecified
Derrick Henry,RB,2023-12-03,0,Head,Cranial,Unspecified
Christian Watson,WR,2023-12-03,5,Thigh,Hamstring,Strain
Rhamondre Stevenson,RB,2023-12-03,5,Pedal,Ankle (high),Sprain
Brian Robinson Jr.,RB,2023-12-03,2,Thigh,Hamstring,Sprain\/Pull Unspecified
Isiah Pacheco,RB,2023-12-03,2,Shoulder,Unspecified,Unspecified
Nathaniel Dell,WR,2023-12-03,5,Leg,Fibula,Fracture
Tyler Higbee,TE,2023-12-03,1,Cervical,Neck,Strain
Emari Demercado,RB,2023-12-03,0,Cervical,Neck,Unspecified
Trevor Lawrence,QB,2023-12-04,0,Pedal,Ankle (high),Sprain
Christian Kirk,WR,2023-12-04,5,Inguinal,Groin,Tear
Taysom Hill,TE,2023-12-05,1,Pedal,Foot,Bruise
Taysom Hill,TE,2023-12-05,1,Hand,Unspecified,Unspecified
Geno Smith,QB,2023-12-07,2,Inguinal,Groin,Pull
Justin Herbert,QB,2023-12-10,4,Hand,Finger,Fracture
Justin Jefferson,WR,2023-12-10,0,Chest,Sternum,Bruise
C.J. Stroud,QB,2023-12-10,2,Head,Cranial,Concussion
Nico Collins,WR,2023-12-10,1,Leg,Calf,Strain
Chris Olave,WR,2023-12-10,1,Pedal,Ankle,Sprain\/Pull Unspecified
Josh Jacobs,RB,2023-12-10,4,Leg,Quad,Bruise
D.J. Moore,WR,2023-12-10,0,Pedal,Ankle,Sprain\/Pull Unspecified
Alexander Mattison,RB,2023-12-10,1,Pedal,Ankle,Sprain\/Pull Unspecified
Keenan Allen,WR,2023-12-11,4,Pedal,Heel,Bruise
Tyreek Hill,WR,2023-12-11,1,Pedal,Ankle,Sprain\/Pull Unspecified
JuJu Smith-Schuster,WR,2023-12-12,4,Pedal,Ankle,Sprain
Ja\u0027Marr Chase,WR,2023-12-16,1,Shoulder,A\/C Joint,Sprain
Michael Pittman Jr.,WR,2023-12-16,1,Head,Cranial,Concussion
Trevor Lawrence,QB,2023-12-17,0,Head,Cranial,Concussion
Jayden Reed,WR,2023-12-17,1,Pedal,Toe,Sprain
Hunter Henry,TE,2023-12-17,3,Knee,MCL,Sprain
Jauan Jennings,WR,2023-12-17,3,Head,Cranial,Concussion
Keaton Mitchell,RB,2023-12-17,8,Knee,ACL,Tear
Keaton Mitchell,RB,2023-12-17,8,Knee,LCL,Sprain
Keaton Mitchell,RB,2023-12-17,8,Knee,MCL,Sprain
Marquise Brown,WR,2023-12-17,3,Pedal,Heel,Bruise
Zay Jones,WR,2023-12-17,2,Thigh,Hamstring,Sprain\/Pull Unspecified
Skyy Moore,WR,2023-12-17,7,Knee,Unspecified,Strain
Michael Mayer,TE,2023-12-21,3,Pedal,Toe,Sprain
Joshua Palmer,WR,2023-12-23,1,Head,Cranial,Concussion
Trevor Lawrence,QB,2023-12-24,1,Shoulder,A\/C Joint,Sprain
Jaylen Waddle,WR,2023-12-24,2,Pedal,Ankle (high),Sprain
Courtland Sutton,WR,2023-12-24,1,Head,Cranial,Concussion
Jordan Addison,WR,2023-12-24,0,Pedal,Ankle,Sprain\/Pull Unspecified
T.J. Hockenson,TE,2023-12-24,2,Knee,MCL,Tear
T.J. Hockenson,TE,2023-12-24,10,Knee,ACL,Tear
Dontayvion Wicks,WR,2023-12-24,1,Chest,Sternum,Bruise
Chris Rodriguez,RB,2023-12-24,2,Pedal,Ankle (high),Sprain
Cole Kmet,TE,2023-12-24,0,Knee,Unspecified,Strain
Brock Purdy,QB,2023-12-25,0,Cervical,Neck,Stinger
Isiah Pacheco,RB,2023-12-25,0,Head,Cranial,Concussion
Darnell Mooney,WR,2023-12-27,2,Head,Cranial,Concussion
Marvin Mims Jr.,WR,2023-12-28,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Jameson Williams,WR,2023-12-30,1,Pedal,Ankle,Sprain\/Pull Unspecified
Christian McCaffrey,RB,2023-12-31,1,Leg,Calf,Strain
Tee Higgins,WR,2023-12-31,1,Thigh,Hamstring,Sprain\/Pull Unspecified
DeVonta Smith,WR,2023-12-31,1,Pedal,Ankle,Sprain\/Pull Unspecified
Alvin Kamara,RB,2023-12-31,1,Pedal,Ankle,Sprain\/Pull Unspecified
Tua Tagovailoa,QB,2023-12-31,0,Shoulder,Unspecified,Unspecified
Tyler Higbee,TE,2023-12-31,1,Shoulder,Unspecified,Dislocation
Jonathan Mingo,WR,2024-01-02,1,Pedal,Foot,Unspecified
Jalen Hurts,QB,2024-01-07,0,Hand,Finger,Dislocation
A.J. Brown,WR,2024-01-07,1,Knee,Unspecified,Strain
Sam LaPorta,TE,2024-01-07,0,Knee,Unspecified,Bruise
Romeo Doubs,WR,2024-01-07,0,Chest,Sternum,Bruise
Cole Kmet,TE,2024-01-07,0,Arm,Forearm,Fracture
Cedric Tillman,WR,2024-01-07,1,Head,Cranial,Concussion
Noah Fant,TE,2024-01-07,0,Hand,Unspecified,Unspecified
Jalin Hyatt,WR,2024-01-07,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Kyren Williams,RB,2024-01-14,0,Hand,Metacarpal,Fracture
Tyler Higbee,TE,2024-01-14,0,Knee,MCL,Tear
Zay Flowers,WR,2024-01-28,0,Hand,Unspecified,Lacerated
Deebo Samuel,WR,2024-02-11,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Xavier Worthy,WR,2024-05-20,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Audric Estime,RB,2024-05-23,0,Knee,Unspecified,Tear
Tucker Kraft,TE,2024-05-24,0,Chest,Pectoral,Tear
Xavier Legette,WR,2024-05-30,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Juwan Johnson,TE,2024-06-10,0,Pedal,Foot,Unspecified
Kendre Miller,RB,2024-07-24,5,Thigh,Hamstring,Sprain\/Pull Unspecified
Isaac Guerendo,RB,2024-07-24,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Roman Wilson,WR,2024-07-30,2,Pedal,Ankle,Sprain
Justin Herbert,QB,2024-07-31,0,Pedal,Foot,Plantar Fasciitis
DeAndre Hopkins,WR,2024-07-31,0,Knee,MCL,Tear
Sam LaPorta,TE,2024-08-02,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Puka Nacua,WR,2024-08-04,0,Knee,Unspecified,Tear
Christian McCaffrey,RB,2024-08-04,8,Pedal,Achilles,Sprain
Xavier Legette,WR,2024-08-04,0,Pedal,Foot,Unspecified
Keenan Allen,WR,2024-08-06,1,Pedal,Heel,Bruise
Christian Watson,WR,2024-08-07,0,Knee,Unspecified,Bruise
Josh Downs,WR,2024-08-07,0,Pedal,Ankle (high),Sprain
MarShawn Lloyd,RB,2024-08-10,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Marquise Brown,WR,2024-08-10,15,Shoulder,S\/C Joint,Separation
J.J. McCarthy,QB,2024-08-10,17,Knee,Meniscus,Tear
Jahmyr Gibbs,RB,2024-08-12,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Johnny Wilson,WR,2024-08-13,0,Head,Cranial,Concussion
Jordan Addison,WR,2024-08-14,0,Pedal,Ankle,Sprain
Christian Kirk,WR,2024-08-14,0,Leg,Calf,Pull
Tyreek Hill,WR,2024-08-15,0,Hand,Wrist,Ligament Tear
Rashid Shaheed,WR,2024-08-16,0,Pedal,Toe,Sprain
Jaylen Warren,RB,2024-08-17,0,Thigh,Hamstring,Strain
Marquez Valdes-Scantling,WR,2024-08-17,0,Cervical,Neck,Stinger
Brock Bowers,TE,2024-08-20,0,Pedal,Foot,Unspecified
Kyle Pitts,TE,2024-08-21,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Noah Fant,TE,2024-08-21,0,Pedal,Toe,Sprain
Jacoby Brissett,QB,2024-08-25,0,Shoulder,Unspecified,Unspecified
Tyler Lockett,WR,2024-09-02,0,Leg,Thigh,Bruise
Marcus Mariota,QB,2024-09-02,4,Chest,Pectoral,Pull
Tee Higgins,WR,2024-09-05,2,Thigh,Hamstring,Sprain\/Pull Unspecified
Jordan Love,QB,2024-09-06,2,Knee,MCL,Sprain
Josh Jacobs,RB,2024-09-06,0,Back,Lower Lumbar,Sprain\/Pull Unspecified
Josh Allen,QB,2024-09-08,0,Hand,Unspecified,Unspecified
Puka Nacua,WR,2024-09-08,5,Knee,PCL,Sprain
Justin Herbert,QB,2024-09-08,0,Pedal,Ankle (high),Sprain
Kenneth Walker III,RB,2024-09-08,2,Abdomen,Muscle,Sprain\/Pull Unspecified
De\u0027Von Achane,RB,2024-09-08,0,Pedal,Ankle (high),Sprain
Jameson Williams,WR,2024-09-08,0,Pedal,Ankle,Sprain\/Pull Unspecified
Rome Odunze,WR,2024-09-08,0,Knee,MCL,Sprain
Jordan Addison,WR,2024-09-08,2,Pedal,Ankle,Sprain\/Pull Unspecified
Jake Ferguson,TE,2024-09-08,1,Knee,MCL,Sprain
Dalton Schultz,TE,2024-09-08,0,Pedal,Ankle,Sprain\/Pull Unspecified
David Njoku,TE,2024-09-08,3,Pedal,Ankle (high),Sprain
Darius Slayton,WR,2024-09-08,0,Head,Cranial,Concussion
Audric Estime,RB,2024-09-08,4,Pedal,Ankle,Sprain
Tua Tagovailoa,QB,2024-09-12,4,Head,Cranial,Concussion
Amon-Ra St. Brown,WR,2024-09-15,0,Knee,Unspecified,Bruise
Justin Jefferson,WR,2024-09-15,0,Leg,Quad,Bruise
George Kittle,TE,2024-09-15,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Deebo Samuel,WR,2024-09-15,1,Leg,Calf,Strain
Tyjae Spears,RB,2024-09-15,1,Pedal,Ankle,Sprain\/Pull Unspecified
Cooper Kupp,WR,2024-09-15,5,Pedal,Ankle (high),Sprain
Evan Engram,TE,2024-09-15,3,Thigh,Hamstring,Sprain\/Pull Unspecified
MarShawn Lloyd,RB,2024-09-15,6,Pedal,Ankle,Sprain
Isiah Pacheco,RB,2024-09-15,7,Leg,Fibula,Fracture
Tank Bigsby,RB,2024-09-15,0,Shoulder,Unspecified,Unspecified
Joe Mixon,RB,2024-09-15,3,Pedal,Ankle,Bruise
Taysom Hill,TE,2024-09-15,0,Chest,Rib,Sprain\/Pull Unspecified
Joshua Palmer,WR,2024-09-18,1,Arm,Elbow,Sprain
Sam Darnold,QB,2024-09-22,0,Knee,Unspecified,Bruise
Trey McBride,TE,2024-09-22,0,Head,Cranial,Concussion
DeVonta Smith,WR,2024-09-22,1,Head,Cranial,Concussion
Jaylen Warren,RB,2024-09-22,2,Knee,Unspecified,Strain
Sam LaPorta,TE,2024-09-22,0,Pedal,Ankle,Sprain\/Pull Unspecified
Tucker Kraft,TE,2024-09-22,0,Shoulder,Unspecified,Unspecified
Nathaniel Dell,WR,2024-09-22,1,Chest,Rib,Sprain\/Pull Unspecified
Darius Slayton,WR,2024-09-22,0,Hand,Thumb,Dislocation
Najee Harris,RB,2024-09-22,0,Shoulder,A\/C Joint,Sprain
Van Jefferson,WR,2024-09-22,0,Head,Orbital,Fracture
Austin Ekeler,RB,2024-09-23,1,Head,Cranial,Concussion
Malik Nabers,WR,2024-09-26,2,Head,Cranial,Concussion
Davante Adams,WR,2024-09-26,2,Thigh,Hamstring,Sprain\/Pull Unspecified
Jalen McMillan,WR,2024-09-27,2,Thigh,Hamstring,Sprain\/Pull Unspecified
Jonathan Taylor,RB,2024-09-29,3,Pedal,Ankle (high),Sprain
Rashee Rice,WR,2024-09-29,13,Knee,LCL,Tear
Travis Etienne,RB,2024-09-29,0,Shoulder,Unspecified,Unspecified
Christian Watson,WR,2024-09-29,1,Pedal,Ankle,Sprain
Khalil Shakir,WR,2024-09-29,1,Pedal,Ankle,Sprain\/Pull Unspecified
Brian Robinson Jr.,RB,2024-09-29,1,Knee,Unspecified,Strain
Luke Musgrave,TE,2024-09-29,1,Pedal,Ankle,Sprain\/Pull Unspecified
Johnny Wilson,WR,2024-09-29,0,Head,Cranial,Concussion
Taysom Hill,TE,2024-09-29,4,Chest,Rib,Fracture
Devin Singletary,RB,2024-10-02,2,Inguinal,Groin,Pull
Matthew Stafford,QB,2024-10-06,0,Back,Lower Lumbar,Sprain\/Pull Unspecified
De\u0027Von Achane,RB,2024-10-06,0,Head,Cranial,Concussion
Nico Collins,WR,2024-10-06,5,Thigh,Hamstring,Strain
Aaron Rodgers,QB,2024-10-06,0,Pedal,Ankle,Sprain\/Pull Unspecified
Josh Downs,WR,2024-10-06,1,Pedal,Toe,Sprain
Aaron Jones,RB,2024-10-06,0,Inguinal,Hip,Sprain
David Njoku,TE,2024-10-06,0,Knee,Unspecified,Strain
Xavier Legette,WR,2024-10-06,0,Shoulder,Unspecified,Unspecified
James Cook,RB,2024-10-09,1,Pedal,Toe,Sprain
Rhamondre Stevenson,RB,2024-10-09,1,Pedal,Foot,Unspecified
Michael Pittman Jr.,WR,2024-10-09,0,Back,Lower Lumbar,Sprain\/Pull Unspecified
Jakobi Meyers,WR,2024-10-09,2,Pedal,Ankle,Sprain\/Pull Unspecified
Rachaad White,RB,2024-10-09,1,Pedal,Foot,Unspecified
Zay Jones,WR,2024-10-09,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Jordan Mason,RB,2024-10-10,0,Shoulder,A\/C Joint,Sprain
Jauan Jennings,WR,2024-10-10,2,Inguinal,Hip,Sprain
Chris Olave,WR,2024-10-13,1,Head,Cranial,Concussion
Travis Etienne,RB,2024-10-13,2,Thigh,Hamstring,Sprain\/Pull Unspecified
Mike Evans,WR,2024-10-13,3,Thigh,Hamstring,Strain
Marvin Harrison Jr.,WR,2024-10-13,0,Head,Cranial,Concussion
Quentin Johnston,WR,2024-10-13,2,Pedal,Ankle,Sprain\/Pull Unspecified
Dallas Goedert,TE,2024-10-13,3,Thigh,Hamstring,Sprain\/Pull Unspecified
Rashid Shaheed,WR,2024-10-13,11,Knee,Meniscus,Tear
Tyjae Spears,RB,2024-10-13,3,Thigh,Hamstring,Sprain\/Pull Unspecified
Dontayvion Wicks,WR,2024-10-13,0,Shoulder,Unspecified,Unspecified
Jerome Ford,RB,2024-10-13,2,Thigh,Hamstring,Sprain\/Pull Unspecified
Dalton Kincaid,TE,2024-10-16,0,Shoulder,Unspecified,Unspecified
Treylon Burks,WR,2024-10-16,12,Knee,ACL,Sprain
Jayden Daniels,QB,2024-10-20,0,Chest,Rib,Sprain\/Pull Unspecified
D.K. Metcalf,WR,2024-10-20,2,Knee,MCL,Pull
Deshaun Watson,QB,2024-10-20,10,Pedal,Achilles,Tear
Brandon Aiyuk,WR,2024-10-20,27,Knee,ACL,Tear
Curtis Samuel,WR,2024-10-20,0,Shoulder,Unspecified,Unspecified
JuJu Smith-Schuster,WR,2024-10-20,3,Thigh,Hamstring,Sprain\/Pull Unspecified
Ja\u0027Lynn Polk,WR,2024-10-20,1,Head,Cranial,Concussion
Zay Flowers,WR,2024-10-21,0,Pedal,Ankle,Sprain\/Pull Unspecified
Chris Godwin,WR,2024-10-21,12,Pedal,Ankle,Dislocation
Skyy Moore,WR,2024-10-24,14,Abdomen,Muscle,Strain
Tee Higgins,WR,2024-10-25,3,Leg,Quad,Strain
Drake Maye,QB,2024-10-27,0,Head,Cranial,Concussion
Jordan Love,QB,2024-10-27,0,Inguinal,Groin,Pull
Brian Thomas Jr.,WR,2024-10-27,0,Chest,Rib,Sprain\/Pull Unspecified
Stefon Diggs,WR,2024-10-27,9,Knee,ACL,Tear
Deebo Samuel,WR,2024-10-27,0,Chest,Rib,Sprain\/Pull Unspecified
Jordan Mason,RB,2024-10-27,0,Shoulder,A\/C Joint,Sprain
Christian Kirk,WR,2024-10-27,9,Shoulder,Clavicle,Fracture
Kendre Miller,RB,2024-10-27,4,Thigh,Hamstring,Sprain\/Pull Unspecified
Sterling Shepard,WR,2024-10-27,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Tyrone Tracy Jr.,RB,2024-10-28,0,Head,Cranial,Concussion
Brian Robinson Jr.,RB,2024-10-30,2,Thigh,Hamstring,Sprain\/Pull Unspecified
Noah Fant,TE,2024-10-30,3,Inguinal,Groin,Strain
Jalen McMillan,WR,2024-11-01,2,Thigh,Hamstring,Sprain\/Pull Unspecified
Trevor Lawrence,QB,2024-11-03,1,Shoulder,A\/C Joint,Sprain
Dak Prescott,QB,2024-11-03,9,Thigh,Hamstring,Tear
Caleb Williams,QB,2024-11-03,0,Pedal,Ankle,Sprain\/Pull Unspecified
CeeDee Lamb,WR,2024-11-03,2,Shoulder,A\/C Joint,Sprain
Drake London,WR,2024-11-03,0,Inguinal,Hip,Sprain
A.J. Brown,WR,2024-11-03,0,Knee,Unspecified,Strain
Chase Brown,RB,2024-11-03,0,Chest,Rib,Bruise
Chris Olave,WR,2024-11-03,8,Head,Cranial,Concussion
Isaiah Likely,TE,2024-11-03,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Tyrone Tracy Jr.,RB,2024-11-03,4,Hand,Wrist,Sprain\/Pull Unspecified
Keon Coleman,WR,2024-11-03,4,Hand,Wrist,Sprain\/Pull Unspecified
Darius Slayton,WR,2024-11-03,1,Head,Cranial,Concussion
Michael Pittman Jr.,WR,2024-11-06,1,Back,Lower Lumbar,Sprain\/Pull Unspecified
Saquon Barkley,RB,2024-11-10,0,Arm,Unspecified,Unspecified
Sam LaPorta,TE,2024-11-10,1,Shoulder,A\/C Joint,Sprain
George Kittle,TE,2024-11-10,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Dalton Kincaid,TE,2024-11-10,3,Knee,PCL,Sprain
Aaron Jones,RB,2024-11-10,0,Chest,Rib,Sprain\/Pull Unspecified
Tank Bigsby,RB,2024-11-10,0,Pedal,Ankle,Sprain\/Pull Unspecified
Kirk Cousins,QB,2024-11-10,0,Shoulder,Unspecified,Unspecified
Miles Sanders,RB,2024-11-10,8,Pedal,Ankle,Sprain\/Pull Unspecified
DeVonta Smith,WR,2024-11-14,2,Thigh,Hamstring,Sprain\/Pull Unspecified
Brock Purdy,QB,2024-11-17,1,Shoulder,Unspecified,Unspecified
Tyjae Spears,RB,2024-11-17,2,Head,Cranial,Concussion
Darnell Mooney,WR,2024-11-17,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Alexander Mattison,RB,2024-11-17,4,Pedal,Ankle,Sprain\/Pull Unspecified
Jake Ferguson,TE,2024-11-18,2,Head,Cranial,Concussion
Cedric Tillman,WR,2024-11-21,6,Head,Cranial,Concussion
Bo Nix,QB,2024-11-24,0,Back,Vertebral,Fracture
David Montgomery,RB,2024-11-24,0,Shoulder,Unspecified,Unspecified
Josh Downs,WR,2024-11-24,2,Shoulder,Unspecified,Unspecified
Romeo Doubs,WR,2024-11-24,4,Head,Cranial,Concussion
Brian Robinson Jr.,RB,2024-11-24,1,Pedal,Ankle,Sprain\/Pull Unspecified
Austin Ekeler,RB,2024-11-24,4,Head,Cranial,Concussion
Ja\u0027Tavion Sanders,TE,2024-11-24,1,Cervical,Neck,Unspecified
J.K. Dobbins,RB,2024-11-25,4,Knee,MCL,Sprain
Emari Demercado,RB,2024-11-27,4,Back,Lower Lumbar,Strain
Christian McCaffrey,RB,2024-12-01,5,Knee,PCL,Sprain
Trevor Lawrence,QB,2024-12-01,0,Head,Cranial,Concussion
Ladd McConkey,WR,2024-12-01,1,Knee,Unspecified,Strain
Dallas Goedert,TE,2024-12-01,4,Knee,Unspecified,Strain
Jordan Mason,RB,2024-12-01,4,Pedal,Ankle (high),Sprain
