player,position,injury_date,games_missed,body_part,site,condition
Calvin Ridley,WR,2018-10-14,0,Pedal,Ankle,Bruise
Cooper Kupp,WR,2018-10-14,2,Knee,MCL,Sprain
Stefon Diggs,WR,2018-10-28,1,Chest,Rib,Bruise
Sam Darnold,QB,2018-11-04,3,Pedal,Foot,Sprain
Cooper Kupp,WR,2018-11-11,6,Knee,ACL,Tear
Samaje Perine,RB,2018-11-11,2,Leg,Calf,Pull
Marcus Mariota,QB,2018-11-18,1,Cervical,Neck,Stinger
Mo Alie-Cox,TE,2018-11-22,3,Leg,Calf,Strain
Evan Engram,TE,2018-11-25,2,Thigh,Hamstring,Sprain\/Pull Unspecified
Odell Beckham Jr.,WR,2018-11-25,4,Leg,Quad,Bruise
Christian Kirk,WR,2018-12-02,4,Pedal,Foot,Fracture
Jonnu Smith,TE,2018-12-06,3,Knee,MCL,Sprain
Austin Ekeler,RB,2018-12-09,2,Cervical,Neck,Stinger
Austin Ekeler,RB,2018-12-09,2,Head,Cranial,Concussion
Aaron Jones,RB,2018-12-16,2,Knee,MCL,Sprain
Marcus Mariota,QB,2018-12-22,1,Cervical,Neck,Stinger
Davante Adams,WR,2018-12-23,1,Knee,Unspecified,Strain
Aaron Rodgers,QB,2018-12-30,0,Head,Cranial,Concussion
DeAndre Hopkins,WR,2019-01-05,0,Shoulder,A\/C Joint,Sprain
Darius Slayton,WR,2019-07-22,2,Thigh,Hamstring,Strain
Josh Oliver,TE,2019-08-01,6,Thigh,Hamstring,Strain
D.K. Metcalf,WR,2019-08-03,0,Abdomen,Muscle,Sprain\/Pull Unspecified
Darren Waller,TE,2019-08-03,0,Shoulder,A\/C Joint,Sprain
Dalton Schultz,TE,2019-08-12,0,Pedal,Ankle,Sprain
Keenan Allen,WR,2019-08-15,0,Pedal,Ankle,Sprain\/Pull Unspecified
D.K. Metcalf,WR,2019-08-18,0,Knee,Unspecified,Strain
Geno Smith,QB,2019-08-29,0,Knee,Patella,Sprain
