name,team,position,consensus_adp,fp_ecr,sleeper_rank,landmine
George Kittle,SF,TE,89.0,93.0,87.0,5.7
Jonathon Brooks,CAR,RB,95.0,84.0,88.0,5.6
Michael Wilson,ARI,WR,93.0,89.0,89.0,5.6
Kyle Monangai,CHI,RB,100.0,109.0,90.0,6.6
Jordyn Tyson,NO,WR,102.0,133.0,91.0,7.5
Dalton Kincaid,BUF,TE,97.0,112.0,92.0,6.3
Blake Corum,LAR,RB,98.0,91.0,93.0,5.6
Chris Godwin,TB,WR,94.0,82.0,94.0,5.1
Travis Kelce,KC,TE,96.0,105.0,95.0,5.8
Alec Pierce,IND,WR,99.0,94.0,96.0,5.5
Trevor Lawrence,JAC,QB,73.0,74.0,97.0,4.3
Jacory Croskey-Merritt,WAS,RB,107.0,97.0,98.0,5.8
Jordan Mason,MIN,RB,110.0,103.0,99.0,5.9
Jordan Addison,MIN,WR,108.0,104.0,100.0,6.0
Jayden Reed,GB,WR,109.0,107.0,101.0,6.0
Jaxson Dart,NYG,QB,80.0,96.0,102.0,4.8
Michael Pittman,PIT,WR,105.0,87.0,103.0,5.0
Quentin Johnston,LAC,WR,104.0,88.0,104.0,4.9
Matthew Stafford,LAR,QB,91.0,108.0,105.0,5.1
Josh Downs,IND,WR,106.0,95.0,106.0,5.1
Jake Ferguson,DAL,TE,112.0,130.0,107.0,6.6
Kenny Gainwell,TB,RB,114.0,106.0,108.0,5.6
Aaron Jones,MIN,RB,120.0,115.0,109.0,5.9
Patrick Mahomes,KC,QB,84.0,102.0,110.0,4.9
Isaiah Likely,NYG,TE,115.0,117.0,111.0,5.7
KC Concepcion,CLE,WR,124.0,132.0,112.0,6.7
Stefon Diggs,WAS,WR,111.0,100.0,113.0,4.9
Wan'Dale Robinson,TEN,WR,118.0,98.0,114.0,5.1
Bo Nix,DEN,QB,87.0,99.0,115.0,4.1
Jakobi Meyers,JAC,WR,121.0,111.0,116.0,5.5
Rachaad White,WAS,RB,123.0,114.0,117.0,5.6
Brock Purdy,SF,QB,88.0,92.0,118.0,3.4
Mark Andrews,BAL,TE,119.0,122.0,119.0,5.6
Matthew Golden,GB,WR,126.0,127.0,120.0,5.9
Dallas Goedert,PHI,TE,116.0,116.0,121.0,5.1
De'Zhaun Stribling,SF,WR,125.0,144.0,122.0,6.4
Romeo Doubs,NE,WR,128.0,124.0,123.0,5.7
Xavier Worthy,KC,WR,127.0,123.0,124.0,5.6
Chris Rodriguez,JAC,RB,132.0,121.0,125.0,5.6
Deebo Samuel,SF,WR,133.0,135.0,126.0,5.9
Tyler Allgeier,ARI,RB,131.0,128.0,127.0,5.6
Zach Charbonnet,SEA,RB,137.0,143.0,128.0,6.4
Tyrone Tracy,NYG,RB,141.0,150.0,129.0,6.7
Jared Goff,DET,QB,103.0,110.0,130.0,4.6
Woody Marks,HOU,RB,136.0,129.0,131.0,5.6
Jonah Coleman,DEN,RB,144.0,141.0,132.0,6.0
Khalil Shakir,BUF,WR,134.0,131.0,133.0,5.5
Jalen Coker,CAR,WR,135.0,126.0,134.0,5.2
Oronde Gadsden,LAC,TE,145.0,179.0,135.0,7.5
Kyler Murray,MIN,QB,113.0,119.0,136.0,4.5
Hunter Henry,NE,TE,139.0,142.0,137.0,5.7
Rashid Shaheed,SEA,WR,142.0,145.0,138.0,5.7
Baker Mayfield,TB,QB,117.0,118.0,139.0,4.4
Alvin Kamara,NO,RB,147.0,151.0,140.0,6.2
Brenton Strange,JAC,TE,140.0,154.0,141.0,5.8
Denzel Boston,CLE,WR,148.0,159.0,142.0,6.1
Mike Washington,LV,RB,153.0,164.0,143.0,6.7
Ja'Kobi Lane,BAL,WR,166.0,224.0,144.0,9.3
Keaton Mitchell,LAC,RB,154.0,138.0,145.0,5.6
Jalen Nailor,LV,WR,162.0,175.0,146.0,7.2
Tank Bigsby,PHI,RB,157.0,139.0,147.0,5.6
Jordan Love,GB,QB,122.0,120.0,148.0,4.5
Sam Darnold,SEA,QB,129.0,140.0,149.0,4.6
Tyjae Spears,TEN,RB,150.0,134.0,150.0,4.9
Isiah Pacheco,DET,RB,156.0,149.0,151.0,5.6
Brian Robinson,ATL,RB,149.0,157.0,152.0,5.6
Kenyon Sadiq,NYJ,TE,160.0,185.0,153.0,7.0
Travis Hunter,JAC,WR,173.0,189.0,154.0,7.5
Omar Cooper,NYJ,WR,179.0,178.0,155.0,7.3
MarShawn Lloyd,GB,RB,167.0,156.0,156.0,5.8
Malik Washington,MIA,WR,186.0,180.0,157.0,7.5
Tank Dell,HOU,WR,200.0,188.0,158.0,8.2
T.J. Hockenson,MIN,TE,161.0,173.0,159.0,6.1
Juwan Johnson,NO,TE,146.0,137.0,160.0,4.1
Fernando Mendoza,LV,QB,163.0,211.0,161.0,7.5
Tyler Shough,NO,QB,130.0,125.0,162.0,2.9
Tre Tucker,LV,WR,171.0,161.0,163.0,5.7
Dylan Sampson,CLE,RB,170.0,147.0,164.0,5.1
Braelon Allen,NYJ,RB,177.0,160.0,165.0,5.7
AJ Barner,SEA,TE,169.0,169.0,166.0,5.7
Malik Willis,MIA,QB,138.0,136.0,167.0,3.3
Chig Okonkwo,WAS,TE,155.0,148.0,168.0,4.3
Nicholas Singleton,TEN,RB,197.0,187.0,170.0,7.2
Jalen McMillan,TB,WR,168.0,166.0,171.0,5.2
Jauan Jennings,MIN,WR,164.0,162.0,172.0,4.8
Emmett Johnson,KC,RB,175.0,174.0,173.0,5.6
Keenan Allen,IND,WR,174.0,181.0,174.0,5.7
Cooper Kupp,SEA,WR,185.0,202.0,176.0,6.8
Dontayvion Wicks,PHI,WR,182.0,168.0,177.0,5.4
Terrance Ferguson,LAR,TE,178.0,171.0,178.0,5.3
C.J. Stroud,HOU,QB,143.0,146.0,179.0,3.3
Pat Bryant,DEN,WR,189.0,176.0,180.0,5.6
Dalton Schultz,HOU,TE,158.0,152.0,181.0,3.6
Ray Davis,BUF,RB,190.0,165.0,182.0,5.3
Daniel Jones,IND,QB,151.0,155.0,183.0,4.0
Jaydon Blue,DAL,RB,184.0,192.0,184.0,5.7
Jerry Jeudy,CLE,WR,181.0,163.0,185.0,4.5
Zachariah Branch,ATL,WR,204.0,209.0,186.0,7.0
Cam Ward,TEN,QB,152.0,153.0,187.0,2.9
Isaac TeSlaa,DET,WR,183.0,199.0,188.0,5.6
Tre' Harris,LAC,WR,195.0,167.0,189.0,4.9
James Conner,ARI,RB,176.0,203.0,191.0,5.4
Malachi Fields,NYG,WR,212.0,215.0,192.0,7.1
Justice Hill,BAL,RB,223.0,214.0,193.0,7.4
Jordan James,SF,RB,243.0,221.0,194.0,8.4
David Njoku,LAC,TE,194.0,210.0,195.0,6.0
Adonai Mitchell,NYJ,WR,180.0,158.0,196.0,3.5
Kayshon Boutte,HOU,WR,198.0,172.0,197.0,4.6
Bryce Young,CAR,QB,159.0,170.0,198.0,3.4
Pat Freiermuth,PIT,TE,193.0,193.0,199.0,5.2
Kaytron Allen,WAS,RB,208.0,198.0,200.0,5.7
Aaron Rodgers,PIT,QB,172.0,195.0,201.0,4.6
Kimani Vidal,LAC,RB,209.0,182.0,204.0,4.9
Gunnar Helm,TEN,TE,206.0,190.0,205.0,5.1
