name,position,Yahoo,Fantrax,FFC,Sleeper,AVG
Evan McPherson,K,84,,,137,110.5
James Cook,RB,118,,,103,110.5
Tyler Lockett,WR,116,,,105,110.5
Robert Woods,WR,121,,,106,113.5
Pat Freiermuth,TE,119,,,109,114.0
Chris Olave,WR,135,,,99,117.0
Cole Kmet,TE,117,,,120,118.5
Derek Carr,QB,112,,,126,119.0
Darrell Henderson Jr.,RB,125,,,113,119.0
Michael Carter,RB,126,,,116,121.0
Indianapolis Colts,DST,109,,,135,122.0
George Pickens,WR,130,,,114,122.0
Kadarius Toney,WR,134,,,111,122.5
Daniel Carlson,K,104,,,144,124.0
James Robinson,RB,136,,,112,124.0
Kirk Cousins,QB,120,,,132,126.0
Harrison Butker,K,115,,,139,127.0
Tyler Bass,K,102,,,153,127.5
Chase Claypool,WR,150,,,110,130.0
Mike Gesicki,TE,132,,,128,130.0
Alexander Mattison,RB,144,,,117,130.5
Matt Gay,K,110,,,152,131.0
Nyheim Hines,RB,143,,,121,132.0
Julio Jones,WR,142,,,124,133.0
Denver Broncos,DST,111,,,160,135.5
Brian Robinson Jr.,RB,133,,,141,137.0
Green Bay Packers,DST,113,,,165,139.0
New Orleans Saints,DST,127,,,151,139.0
Dallas Cowboys,DST,154,,,131,142.5
Garrett Wilson,WR,166,,,122,144.0
Albert Okwuegbunam,TE,131,,,157,144.0
Treylon Burks,WR,194,,,107,150.5
Hunter Henry,TE,159,,,143,151.0
Marquez Valdes-Scantling,WR,182,,,123,152.5
Isiah Pacheco,RB,165,,,140,152.5
Jarvis Landry,WR,160,,,145,152.5
Skyy Moore,WR,192,,,115,153.5
Raheem Mostert,RB,155,,,154,154.5
David Njoku,TE,163,,,147,155.0
Tyler Boyd,WR,185,,,127,156.0
DeVante Parker,WR,175,,,142,158.5
Russell Gage,WR,146,,,176,161.0
Isaiah Spiller,RB,190,,,134,162.0
Tua Tagovailoa,QB,169,,,155,162.0
Mecole Hardman,WR,156,,,168,162.0
Romeo Doubs,WR,187,,,138,162.5
Ronald Jones II,RB,124,,,204,164.0
Kenneth Gainwell,RB,200,,,129,164.5
Mark Ingram II,RB,162,,,167,164.5
Tyler Allgeier,RB,184,,,148,166.0
Marlon Mack,RB,129,,,205,167.0
Justin Fields,QB,170,,,164,167.0
Baltimore Ravens,DST,202,,,133,167.5
Rachaad White,RB,181,,,156,168.5
Jahan Dotson,WR,189,,,150,169.5
Khalil Herbert,RB,196,,,146,171.0
Younghoe Koo,K,168,,,175,171.5
Michael Gallup,WR,215,,,130,172.5
Baker Mayfield,QB,137,,,209,173.0
Zamir White,RB,183,,,163,173.0
Trevor Lawrence,QB,174,,,172,173.0
Tyler Higbee,TE,180,,,171,175.5
Rondale Moore,WR,195,,,159,177.0
Jamaal Williams,RB,209,,,149,179.0
Robbie Gould,K,147,,,212,179.5
Kenny Golladay,WR,178,,,181,179.5
Kenny Pickett,QB,128,,,232,180.0
Isaiah McKenzie,WR,198,,,162,180.0
Odell Beckham Jr.,WR,158,,,203,180.5
Joshua Palmer,WR,179,,,184,181.5
Mac Jones,QB,151,,,215,183.0
Sammy Watkins,WR,173,,,193,183.0
Christian Watson,WR,191,,,178,184.5
Hayden Hurst,TE,153,,,219,186.0
D.J. Chark Jr.,WR,206,,,166,186.0
Jalen Tolbert,WR,172,,,200,186.0
Taysom Hill,TE,138,,,235,186.5
Deshaun Watson,QB,171,,,202,186.5
Matt Prater,K,213,,,161,187.0
Nick Folk,K,176,,,198,187.0
Jameis Winston,QB,188,,,186,187.0
J.D. McKissic,RB,207,,,170,188.5
Carson Wentz,QB,139,,,,139.0
Cameron Brate,TE,140,,,,140.0
Mike Davis,RB,197,,,182,189.5
Las Vegas Raiders,DST,141,,,,141.0
Chicago Bears,DST,145,,,,145.0
D'Onta Foreman,RB,193,,,191,192.0
Isaiah Likely,TE,164,,,222,193.0
Greg Joseph,K,148,,,,148.0
Jakobi Meyers,WR,210,,,177,193.5
Mo Alie-Cox,TE,149,,,,149.0
Ryan Tannehill,QB,152,,,237,194.5
Irv Smith Jr.,TE,217,,,173,195.0
Sony Michel,RB,157,,,234,195.5
Robert Tonyan,TE,201,,,192,196.5
Los Angeles Chargers,DST,,,,158,158.0
Matt Ryan,QB,203,,,195,199.0
Jameson Williams,WR,225,,,174,199.5
New England Patriots,DST,220,,,179,199.5
Greg Zuerlein,K,161,,,,161.0
Brandon McManus,K,231,,,169,200.0
Nico Collins,WR,212,,,188,200.0
Rodrigo Blankenship,K,223,,,180,201.5
Chris Boswell,K,167,,,,167.0
Darrel Williams,RB,186,,,221,203.5
Ryan Succop,K,229,,,183,206.0
Jared Goff,QB,177,,,,177.0
Noah Fant,TE,199,,,217,208.0
Cleveland Browns,DST,232,,,185,208.5
Wil Lutz,K,208,,,211,209.5
Gerald Everett,TE,219,,,201,210.0
Pittsburgh Steelers,DST,230,,,194,212.0
Wan'Dale Robinson,WR,,,,187,187.0
K.J. Osborn,WR,,,,189,189.0
KJ Hamler,WR,,,,190,190.0
Austin Hooper,TE,218,,,213,215.5
Chuba Hubbard,RB,,,,196,196.0
Alec Pierce,WR,,,,197,197.0
Tyrion Davis-Price,RB,,,,199,199.0
Evan Engram,TE,222,,,218,220.0
Devin Duvernay,WR,204,,,,204.0
Gus Edwards,RB,227,,,216,221.5
Cade York,K,205,,,,205.0
Philadelphia Eagles,DST,237,,,207,222.0
Jeff Wilson Jr.,RB,,,,206,206.0
Eno Benjamin,RB,,,,208,208.0
Marvin Jones Jr.,WR,,,,210,210.0
Washington Commanders,DST,211,,,,211.0
Tennessee Titans,DST,226,,,224,225.0
Robbie Anderson,WR,,,,214,214.0
Zay Jones,WR,214,,,,214.0
Logan Thomas,TE,216,,,,216.0
Cincinnati Bengals,DST,235,,,223,229.0
Van Jefferson,WR,,,,220,220.0
Jason Sanders,K,221,,,,221.0
Miami Dolphins,DST,236,,,227,231.5
Daniel Jones,QB,224,,,240,232.0
Dontrell Hilliard,RB,,,,225,225.0
Jerick McKinnon,RB,,,,226,226.0
Randall Cobb,WR,,,,228,228.0
Jake Elliott,K,228,,,,228.0
Kenyan Drake,RB,,,,229,229.0
Parris Campbell,WR,,,,230,230.0
Samaje Perine,RB,,,,231,231.0
A.J. Green,WR,,,,233,233.0
Dustin Hopkins,K,233,,,,233.0
Kansas City Chiefs,DST,234,,,,234.0
David Bell,WR,,,,236,236.0
Minnesota Vikings,DST,238,,,,238.0
Donovan Peoples-Jones,WR,,,,238,238.0
Curtis Samuel,WR,,,,239,239.0
Hassan Haskins,RB,,,,241,241.0
Andre Baccellia,WR,,,,242,242.0
Parker Houston,TE,,,,243,243.0
Carl Tucker,TE,,,,244,244.0
Tyshaun James,WR,,,,245,245.0
Javon Leake,RB,,,,246,246.0
Charles Williams,RB,,,,247,247.0
J.J. Koski,WR,,,,249,249.0
Connor Wedington,WR,,,,250,250.0
Shane Zylstra,TE,,,,251,251.0
Shaquelle Evans,WR,,,,252,252.0
Terrell Sinkfield,WR,,,,254,254.0
Diontae Spencer,WR,,,,255,255.0
Bennie Fowler III,WR,,,,256,256.0
Cade Brewer,TE,,,,257,257.0
Levi Lewis,QB,,,,258,258.0
Kendal Thompson,WR,,,,259,259.0
Terry Swanson,RB,,,,260,260.0
David Watford,WR,,,,261,261.0
Ryan Nall,RB,,,,262,262.0
Juwan Johnson,TE,,,,263,263.0
Emeka Emezie,WR,,,,264,264.0
Brandon Smith,CB,,,,266,266.0
Javian Hawkins,RB,,,,268,268.0
Kenneth Dixon,RB,,,,269,269.0
Alonzo Moore,WR,,,,271,271.0
Jaron Brown,WR,,,,272,272.0
Matthew Wright,K,,,,273,273.0
Tyler Renew,RB,,,,274,274.0
John Lovett,QB,,,,275,275.0
Brandon Johnson,LB,,,,276,276.0
Blake Sims,QB,,,,277,277.0
Jack Stoll,TE,,,,278,278.0
Jake Heaps,QB,,,,279,279.0
Eric Rogers,WR,,,,280,280.0
