name,position,ESPN,RTSports,MFL,Fantrax,FFC,Sleeper,AVG
Ronald Jones II,RB,,219,,,,198,191.0
Nico Collins,WR,209,173,,,,205,213.8
Daniel Jones,QB,187,202,,,,235,213.8
Rodrigo Blankenship,K,213,251,,,,180,214.5
Jared Goff,QB,207,184,,,,234,214.8
Chuba Hubbard,RB,,209,,,,188,193.0
Taysom Hill,TE,205,253,,,,207,216.5
Greg Joseph,K,178,208,,,,,195.3
Sammy Watkins,WR,226,235,,,,183,217.0
Isaiah Spiller,RB,,176,,,,153,199.7
Cincinnati Bengals,DST,195,277,,,,221,220.5
Kenyan Drake,RB,227,179,,,,228,221.3
Chris Boswell,K,198,260,,,,,202.7
Jameson Williams,WR,,198,,,,189,202.7
Kenny Pickett,QB,211,271,,,,210,225.3
Mason Crosby,K,224,,,,,,170.5
Carson Wentz,QB,177,222,,,,,208.3
Logan Thomas,TE,,191,,,,244,208.3
Alec Pierce,WR,,174,,,,196,211.3
Jerick McKinnon,RB,,229,,,,224,216.3
Van Jefferson,WR,,267,,,,233,217.3
Jake Elliott,K,214,242,,,,,218.0
Marlon Mack,RB,,,,,,197,187.5
D'Onta Foreman,RB,,175,,,,211,219.0
Marcus Mariota,QB,223,234,,,,230,235.5
Isaiah Likely,TE,221,210,,,,,221.0
Darrel Williams,RB,,164,,,,219,191.5
Tennessee Titans,DST,,261,,,,222,222.0
Minnesota Vikings,DST,222,247,,,,,224.0
Wan'Dale Robinson,WR,,187,,,,208,224.7
Zach Wilson,QB,218,264,,,,238,239.0
K.J. Osborn,WR,,213,,,,209,226.7
Myles Gaskin,RB,,206,,,,,200.0
Washington Commanders,DST,193,263,,,,,231.7
Cade York,K,204,250,,,,,234.0
Rex Burkhead,RB,216,218,,,,,234.3
Corey Davis,WR,,236,,,,,211.5
Tyrion Davis-Price,RB,,207,,,,216,211.5
Parris Campbell,WR,,182,,,,242,212.0
A.J. Green,WR,,,,,,213,212.0
Graham Gano,K,192,,,,,,214.5
Kyle Rudolph,TE,210,,,,,223,237.7
Dustin Hopkins,K,,215,,,,,217.0
Cameron Brate,TE,,269,,,,239,240.0
Jeff Wilson Jr.,RB,,167,,,,,167.0
Randall Cobb,WR,,,,,,227,224.5
Eno Benjamin,RB,,225,,,,225,225.0
Dontrell Hilliard,RB,,226,,,,226,226.0
Mitch Trubisky,QB,220,266,,,,,244.3
Mike Davis,RB,,177,,,,,177.0
KJ Hamler,WR,,246,,,,212,229.0
Arizona Cardinals,DST,,276,,,,,233.5
Kendrick Bourne,WR,,243,,,,,235.0
Randy Bullock,K,,,,,,,197.0
Sony Michel,RB,,240,,,,240,240.0
Donovan Peoples-Jones,WR,,262,,,,236,253.7
Ameer Abdullah,RB,,203,,,,,242.5
Matt Breida,RB,,205,,,,,205.0
David Bell,WR,,245,,,,241,243.0
Las Vegas Raiders,DST,,,,,,,207.0
Jason Sanders,K,,270,,,,,244.0
Austin Seibert,K,,,,,,,208.0
Gus Edwards,RB,,257,,,,237,247.0
Chicago Bears,DST,,272,,,,,247.5
C.J. Uzomah,TE,,,,,,,215.0
Samaje Perine,RB,,268,,,,231,249.5
Davis Mills,QB,,233,,,,,250.0
Jordan Mason,RB,,220,,,,,220.0
Hassan Haskins,RB,,256,,,,245,250.5
Carolina Panthers,DST,,274,,,,,251.0
Brevin Jordan,TE,,223,,,,,223.0
Jamison Crowder,WR,,,,,,246,253.5
Curtis Samuel,WR,,273,,,,243,263.3
Cairo Santos,K,,,,,,,230.0
Ke'Shawn Vaughn,RB,,230,,,,,230.0
Damien Williams,RB,,231,,,,,231.0
Zack Moss,RB,,278,,,,,256.5
Jimmy Garoppolo,QB,,,,,,,233.0
Brett Maher,K,,,,,,,238.0
Boston Scott,RB,,239,,,,,262.0
D'Ernest Johnson,RB,,241,,,,,266.5
Jason Myers,K,,,,,,,244.0
Joshua Kelley,RB,,244,,,,,244.0
DeAndre Torrey,RB,,,,,,247,247.0
Mo Alie-Cox,TE,,248,,,,,248.0
Jake Powell,TE,,,,,,248,248.0
Anthony Johnson,DT,,,,,,249,249.0
Tyler Conklin,TE,,,,,,,250.0
Collin Hill,QB,,,,,,250,250.0
Chad Muma,LB,,,,,,251,251.0
Ben Johnson,OT,,,,,,252,252.0
Braxton Berrios,WR,,252,,,,,252.0
Kyle Juszczyk,RB,,,,,,,253.0
Austin Walter,RB,,,,,,253,253.0
Zay Jones,WR,,254,,,,,254.0
Kayvon Thibodeaux,DE,,,,,,254,254.0
Karan Higdon,RB,,,,,,255,255.0
Marquez Callaway,WR,,279,,,,,268.0
Seattle Seahawks,DST,,,,,,,256.0
Jordan Johnson,RB,,,,,,256,256.0
Stephen Baggett,TE,,,,,,257,257.0
Alex Barnes,RB,,,,,,258,258.0
Jaylen Warren,RB,,258,,,,,258.0
Detroit Lions,DST,,,,,,,259.0
Zach Olstad,RB,,,,,,259,259.0
Temarrick Hemingway,TE,,,,,,260,260.0
Jerome Washington,TE,,,,,,261,261.0
New York Giants,DST,,,,,,,262.0
Stephon Robinson Jr.,WR,,,,,,262,262.0
Nick Bawden,RB,,,,,,263,263.0
Michael Jacobson,TE,,,,,,264,264.0
Jamel Johnson,WR,,,,,,265,265.0
Sterling Shepard,WR,,265,,,,,281.5
Brandon Barnes,TE,,,,,,266,266.0
Drew Anderson,QB,,,,,,267,267.0
Zach Conque,QB,,,,,,268,268.0
Bobby Wagner,LB,,,,,,269,269.0
Kendrick Rogers,WR,,,,,,270,270.0
Taywan Taylor,WR,,,,,,271,271.0
New York Jets,DST,,,,,,,272.0
Kyle Lewis,WR,,,,,,272,272.0
Ryan Davis,DE,,,,,,273,273.0
Jonnu Smith,TE,,,,,,,273.0
Papi White,WR,,,,,,274,274.0
Laviska Shenault Jr.,WR,,275,,,,,275.0
Houston Texans,DST,,,,,,,276.0
Krishawn Hogan,WR,,,,,,276,276.0
Brogan Roback,QB,,,,,,277,277.0
Cedrick Wilson Jr.,WR,,,,,,,278.0
Cole Hunt,TE,,,,,,278,278.0
David Watford,WR,,,,,,279,279.0
Chris Evans,RB,,280,,,,,280.0
Zaire Mitchell-Paden,TE,,,,,,280,280.0
Brandon Bolden,RB,,,,,,,281.0
Josh Smith,WR,,,,,,281,281.0
Nelson Agholor,WR,,,,,,,283.0
Foster Moreau,TE,,,,,,,284.0
Quez Watkins,WR,,,,,,,287.0
J.J. Taylor,RB,,,,,,,288.0
Byron Pringle,WR,,,,,,,289.0
Jacksonville Jaguars,DST,,,,,,,290.0
Drew Lock,QB,,,,,,,291.0
Jauan Jennings,WR,,,,,,,293.0
DeeJay Dallas,RB,,,,,,,294.0
Ka'imi Fairbairn,K,,,,,,,295.0
Trey Sermon,RB,,,,,,,296.0
Malik Willis,QB,,,,,,,297.0
Joey Slye,K,,,,,,,299.0
O.J. Howard,TE,,,,,,,300.0
