name,position,CBS,Sleeper,RTSports,AVG
Tre Tucker,WR,,293,292,292.5
Tucker Kraft,TE,,279,,279.0
Treylon Burks,WR,,291,295,293.0
O.J. Howard,TE,,281,,281.0
Davis Cheek,QB,,283,,283.0
Albert Wilson,WR,,284,,284.0
Jordan Whittington,WR,,,284,284.0
Peewee Jarrett,QB,,286,,286.0
Deuce Vaughn,RB,,287,,287.0
Calvin Austin III,WR,,,287,287.0
Noah Brown,WR,,,288,288.0
Larry Rose III,RB,,288,,288.0
Jonathan Mingo,WR,,298,298,298.0
J.J. Taylor,RB,,290,,290.0
Austin Aune,QB,,292,,292.0
Van Jefferson,WR,,,293,293.0
Kevin White,WR,,294,,294.0
Danny Vitale,RB,,295,,295.0
Rasheen Ali,RB,,296,,296.0
Los Angeles Chargers,DST,,325,296,310.5
Isaiah Bowser,RB,,297,,297.0
Emanuel Wilson,RB,,,297,297.0
K.J. Osborn,WR,,317,299,308.0
Jeff Wilson Jr.,RB,,,300,300.0
Zay Malone,WR,,300,,300.0
Alec Pierce,WR,,,301,301.0
Frank Gore Jr.,RB,,301,,301.0
Josh Reynolds,WR,,303,,303.0
Mark Ingram II,RB,,305,,305.0
Los Angeles Rams,DST,,306,,306.0
Jalen Nailor,WR,,,306,306.0
Evan Hull,RB,,308,,308.0
Jacksonville Jaguars,DST,,311,,311.0
Wendell Smallwood,RB,,312,,312.0
Nick Keizer,TE,,314,,314.0
Mo Alie-Cox,TE,,316,,316.0
James White,RB,,319,,319.0
Anthony Johnson,CB,,322,,322.0
A.T. Perry,WR,,323,,323.0
Jason Witten,TE,,324,,324.0
Vernon Davis,TE,,326,,326.0
